Job Title,Job Title Clean,Job Title Clean 2
"(senior) executive assistant / associate executive, emergency medicine(7784)",(Senior) Executive Assistant / Associate Executive,
.net & c# programmer,.Net & C# Programmer,
(senior) operations executive - hospital,(Senior) Operations Executive - Hospital,
"[lta project] x3 qaqc engineer/$4000-$5500, 5days,central",[Lta Project] X3 Qaqc Engineer/$4000-$5500,
$2980/mth | govt admin officer | mon - fri (office hrs),Govt Admin Officer,
"manufacturing , lifecycle engineer",Lifecycle Engineer,
hsbc life financial advisor role #localcareer,Hsbc Life Financial Advisor Role #Localcareer,
entry level banking sales (fixed basic + commissions),Entry Level Banking Sales,
clinic operations manager / assistant manager,Clinic Operations Manager / Assistant Manager,
treasury operations (assistant manager / manager),Treasury Operations,
$2500 / month | govt temp admin role | 6-12 months | central area,Govt Temp Admin Role,
m & e executive (project)_contract role,M & E Executive (Project)_Contract Role,
account onboarding team - customer service unit,Customer Service Unit,
no exp | associate test engineer (semicon) | entry level,(Semicon,
"(senior) executive assistant, psychological medicine (reach west, contract)(7305",(Senior) Executive Assistant,
pre-sales engineer / manager (networking),Pre-Sales Engineer / Manager,
"6 months temp pharmacy assistant (min diploma, no exp needed) #hft",Temp Pharmacy Assistant,
management operations,Management Operations,
"logistics support admin [5-day, entry-level]",Logistics Support Admin,
"utility engineer/  (new airport civil, east or new mrt, west)/5day/upto $7k+vb",Utility Engineer/,
clinic ops assistant / clinic ops executive (island-wide),Clinic Ops Assistant,
senior/ manager (performance and operations/ vessel management),Senior/ Manager,
unit operations manager - healthcare,Unit Operations Manager - Healthcare,
"(senior) executive, central ops",(Senior) Executive,
healthcare operations senior/ executive/ assistant manager (multiple settings),Healthcare Operations,
manufacturing technician (1-year contract),(1-Year Contract,
entry - it/desktop support engineer | ojt provided** | basic up to $2400,Desktop Support Engineer,
customer service co-ordinator,Customer Service Co-,
$2980/mth | govt admin & ops officer | mon - fri (office hrs),$2980/Mth | Govt Admin,
entry level desktop support (training provided),Entry Level Desktop Support,
end user computing - lead,End User Computing - Lead,
12 months aml analyst,12 Months Aml Analyst,
$3100 - 3600/mth | admin & project support |mon - fri (office hrs),|Mon - Fri,
"senior/ executive, laboratory medicine",Senior/ Executive,
"senior/ executive assistant, pharmacy(7830)",Senior/ Executive Assistant,
m & e coordinator,M & E Coordinator,
account processing executive,Account Processing Executive,
"senior/ executive, singhealth staff protection office",Senior/ Executive,
m & e coordinator,M & E Coordinator,
banking operations #spt,Banking Operations #Spt,
"hiring now: desktop support engineer (l1/l2) – government linked, islandwide",(L1/L2,
"level 1, system engineer (shift / changi)",System Engineer,
manufacturing technician (semiconductor/ equipment),Semiconductor/ Equipment,
m & e coordinator,M & E Coordinator,
experienced financial telemarketer,Experienced Financial Telemarketer,
engine mro admin & invoicing executive,Engine Mro Admin,
part time: field tehnician/production support/lab technician,/Production Support/Lab,
"senior/ executive, medical device technology",Senior/ Executive,
"(new intake) branch sales & service executive, $3,500 basic + comm",Branch Sales,
$2500 / month | govt temp admin role | 6-12 months | central area,Govt Temp Admin Role,
operations senior/ executive/ assistant manager – hospital & specialist clinics,Operations,
1 man show - senior it executive /sql network erp systems infrastructure /hw+sw,Network Erp Systems Infrastructure,
"banking operations - onboarding specialist (6 mths contract, convertible)",Banking Operations - Onboarding Specialist,
"(senior) executive assistant / (senior) executive, ncis (lab logistics)",(Senior) Executive Assistant / (Senior) Executive,
desktop & hardware systems admin,Desktop & Hardware Systems Admin,
urgent hiring! | financial services associate | wfh | flexible hours,Urgent Hiring,
(immediate) it support engineer,(Immediate) It Support Engineer,
"[billing & settlement executive] up to $4500, somerset",[Billing & Settlement Executive,
"senior/ executive, hopsital clinic operations & administration support",Senior/ Executive,
"[stable, 5 days work] !gov hosp! senior service team leader @west up$4000 #hja","[Stable, 5 Days Work",
senior/ pharmacy technician*(6751),Senior/ Pharmacy Technician*(6751,
entry - it helpdesk/service desk engineer | east | up to $2400,Service Desk Engineer,
portering operations co-ordinator (singapore general hospital),Operations,
"senior/ executive, allied health & pharmacy - egh planning office",Senior/ Executive,
pre-sales consultant,Pre-Sales Consultant,
*immediate hire! sales admin (po / sales order / office admin) yh36,*Immediate Hire,
[lta project] site/tunnel/qaqc engineer-$6000/5day/company transport,[Lta Project,
.net & c# programmer,.Net & C# Programmer,
it support  engineer (desktop - training provided),It Support  Engineer,
1 year contract data management (bank) #bcx,1 Year Contract Data Management,
customer service & admin,Customer Service,
*new* 6 months contract administrator ($2500 to $3000) training provided #nja,*New* 6 Months,
"3 months contract / perm clinic assistant (training provided, 5.5 days) #hft",Perm Clinic Assistant,
manufacturing / test engineering assistant,Manufacturing / Test Engineering Assistant,
entry level personal banker,Entry Level Personal Banker,
electrical & instrumental (e&i) engineer,Electrical & Instrumental (E&I) Engineer,
end user computing (euc) support cum project management,Support Cum Project Management,
r&d engineering assistant / failure analysis technician (up to $4000),Failure Analysis Technician,
entry level - investment & wealth development analyst - (rn),Wealth Development Analyst,
executive support assistant,Executive Support Assistant,
full-time dental assistant (holland drive),Full-Time Dental Assistant (Holland Drive,
(senior) operations executive - hospital,(Senior) Operations Executive - Hospital,
[entry level] customer service,[Entry Level] Customer Service,
training & quality improvement executive,Training & Quality Improvement Executive,
2025 dbs internship (technology and data),2025 Dbs Internship,
$2100/month - digital ambassadors - govt job - work around your area,/Month - Digital Ambassadors,
e-commerce performance analyst (junior),E-Commerce Performance Analyst,
-new- 8 months trust operations officer (foreign bank),8 Months,
treasury operations (assistant manager / manager),Treasury Operations,
(senior) executive assistant - nucohs (admin),(Senior) Executive Assistant - Nucohs,
"senior/ executive, laboratory medicine",Senior/ Executive,
"senior/ executive assistant, pharmacy(7830)",Senior/ Executive Assistant,
*new* 1 year contract kyc analyst - foreign banks,*New* 1 Year Contract,
entry level desktop support (12hrs shift),Entry Level Desktop Support,
(site) testing associate engineer (no experience welcome),(Site) Testing Associate Engineer,
12 months cash management officer (foreign bank) #bjt,12 Months Cash Management Officer,
account opening/onboarding associate (financial institutions),Account Opening/Onboarding Associate,
fast hire! flexible remote sales & wealth management role | | students welcome!,Fast Hire,
6 months aml analyst,6 Months Aml Analyst,
"account services officer, private banking",Account Services Officer,
treasury operations - assistant manager (private banking),Treasury Operations,
Application Support/Service Desk Analyst,,
"Manager, Airport Passenger Mover system",,
Chemical Technician / Process Technician x 3 (Jurong Island),,
Site Engineer (Civil),,
Senior/Project Engineer,,
"Senior Analyst, Fund Operations",,
"Assistant Manager, Group Treasury (Cash, Fund, FX, Corporate Fianance)",,
Dealer/Dealing Assistant,,
"Associate / Senior Associate, Settlement (Equities, OTC)",,
Customer Service cum Admin Associate,,
Medical - Product Specialist/Sales Executive,,
"Senior/ Executive , Clinical Operation",,
"Engineer, Frontend",,
"Senior Engineer, Android",,
"Senior Engineer, Frontend",,
"VP, KYC Client Onboarding, Private Bank",,
Director of Spa,,
Assistant Manager / Senior Engineer (IT),,
"Executive (4 months Maternity Cover), Public Engagement",,
